"id_faeces","ecoli_conc_mean_0dpi","water_content_0dpi","ph_0dpi"
1,112718.845442423,0.53,6.63
2,376749.108734403,0.515555555555555,6.8
3,557734.277664794,0.521164021164021,6.73
4,696261.658272198,0.51,6.83
5,205896.538926769,0.53,6.45
6,3759639.53104596,0.53,6.25
7,156603.811641232,0.54,6.61
8,613911.007025761,0.56,6.12
