id_treatment,id_inoc,id_faeces,starting_date,weight_0dpi,weight_14dpi,water_content_14dpi,ph_14dpi,exclude,id_bact,date,ecoli_cfu_per_g,area_size_0dpi,area_size_2dpi,area_size_5dpi,area_size_7dpi,area_size_14dpi,growth_description_0dpi,growth_description_2dpi,growth_description_5dpi,growth_description_7dpi,growth_description_14dpi,contamination_area_0dpi,contamination_area_2dpi,contamination_area_5dpi,contamination_area_7dpi,contamination_area_14dpi,reproductive_structures_0dpi,reproductive_structures_2dpi,reproductive_structures_5dpi,reproductive_structures_7dpi,reproductive_structures_14dpi,collection_date_1,collection_date_2,ph,additive,additive_ratio,water_content_0dpi,faecal_ecoli_cfu_per_g_1,faecal_ecoli_cfu_per_g_2,faecal_ecoli_cfu_per_g_3,species,material,material_2,production_date,experiment
120,88,6,2025-09-18,16.09,14.98,NA,8.91,NA,NA,2025-10-02,NA,0.775,NA,NA,0.775,0.775,0,NA,NA,0,0,0,NA,NA,63.617,63.617,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. ostreatus v.F,MEA,none,NA,1_2
121,88,6,2025-09-18,15.66,14.97,NA,9.04,NA,NA,2025-10-02,NA,0.816,NA,NA,0.816,0.816,0,NA,NA,0,0,0,NA,NA,63.617,63.617,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. ostreatus v.F,MEA,none,NA,1_2
122,88,6,2025-09-18,15.98,15.7,NA,5.47,NA,NA,2025-10-02,NA,0.791,NA,NA,0.791,0.791,0,NA,NA,0,0,0,NA,NA,0.31,9.435,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. ostreatus v.F,MEA,none,NA,1_2
123,89,6,2025-09-18,16.02,15.76,NA,5.8,NA,NA,2025-10-02,NA,0.796,NA,NA,0.796,0.796,0,NA,NA,0,0,0,NA,NA,5.451,18.316,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. ostreatus,MEA,none,NA,1_2
124,89,6,2025-09-18,16.07,15.9,NA,5.31,NA,NA,2025-10-02,NA,0.744,NA,NA,0.744,0.744,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. ostreatus,MEA,none,NA,1_2
125,89,6,2025-09-18,16.04,15.83,NA,5.63,NA,NA,2025-10-02,NA,0.8,NA,NA,0.8,0.8,0,NA,NA,0,0,0,NA,NA,2.796,4.226,0,NA,NA,NA,NA,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. ostreatus,MEA,none,NA,1_2
126,90,6,2025-09-18,16.22,15.92,NA,7.11,NA,NA,2025-10-02,NA,0.771,NA,NA,4.819,13.058,0,NA,NA,5,5,0,NA,NA,0,0,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. pulmonarius,MEA,none,NA,1_2
127,90,6,2025-09-18,15.62,15.29,NA,8.72,NA,NA,2025-10-02,NA,0.696,NA,NA,0.696,0.696,0,NA,NA,0,0,0,NA,NA,9.78,32.361,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. pulmonarius,MEA,none,NA,1_2
128,90,6,2025-09-18,15.89,15.27,NA,8.97,NA,NA,2025-10-02,NA,0.744,NA,NA,0.744,0.744,0,NA,NA,0,0,0,NA,NA,63.617,63.617,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. pulmonarius,MEA,none,NA,1_2
129,91,6,2025-09-18,16.01,15.87,NA,5.43,NA,NA,2025-10-02,NA,0.731,NA,NA,0.731,0.731,0,NA,NA,0,0,0,NA,NA,0,1.157,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,G. lucidum,MEA,none,NA,1_2
130,91,6,2025-09-18,16.2,15.99,NA,5.82,NA,NA,2025-10-02,NA,0.723,NA,NA,0.723,0.723,0,NA,NA,0,0,0,NA,NA,5.297,5.297,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,G. lucidum,MEA,none,NA,1_2
131,91,6,2025-09-18,15.22,14.99,NA,5.64,NA,NA,2025-10-02,NA,0.704,NA,NA,0.704,0.74,0,NA,NA,0,0,0,NA,NA,12.519,12.519,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,G. lucidum,MEA,none,NA,1_2
132,92,6,2025-09-18,16.47,16.29,NA,5.35,NA,NA,2025-10-02,NA,0.743,NA,NA,0.743,0.743,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,C. comatus,MEA,none,NA,1_2
133,92,6,2025-09-18,16.43,16.23,NA,5.51,NA,NA,2025-10-02,NA,0.774,NA,NA,0.774,0.774,0,NA,NA,0,0,0,NA,NA,6.781,7.591,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,C. comatus,MEA,none,NA,1_2
134,92,6,2025-09-18,16.06,15.97,NA,5.37,NA,NA,2025-10-02,NA,0.773,NA,NA,0.773,0.773,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,C. comatus,MEA,none,NA,1_2
135,93,6,2025-09-18,16.18,15.06,NA,6.84,NA,NA,2025-10-02,NA,0.763,NA,NA,0.763,0.763,0,NA,NA,0,0,0,NA,NA,63.617,63.617,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. ostreatus columbinus,MEA,none,NA,1_2
136,93,6,2025-09-18,15.74,15.1,NA,8.92,NA,NA,2025-10-02,NA,0.768,NA,NA,0.768,0.768,0,NA,NA,0,0,0,NA,NA,63.617,63.617,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. ostreatus columbinus,MEA,none,NA,1_2
137,93,6,2025-09-18,15.88,15.7,NA,5.32,NA,NA,2025-10-02,NA,0.777,NA,NA,0.777,0.777,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,P. ostreatus columbinus,MEA,none,NA,1_2
138,94,6,2025-09-18,15.84,15.17,NA,8.99,NA,NA,2025-10-02,NA,0.67,NA,NA,0.67,0.67,0,NA,NA,0,0,0,NA,NA,63.617,63.617,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,Cop1,MEA,none,NA,1_2
139,94,6,2025-09-18,15.84,15.55,NA,6.84,NA,NA,2025-10-02,NA,0.743,NA,NA,0.743,0.743,0,NA,NA,0,0,0,NA,NA,2.647,23.568,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,Cop1,MEA,none,NA,1_2
140,94,6,2025-09-18,16.07,15.62,NA,9.03,NA,NA,2025-10-02,NA,0.678,NA,NA,0.678,0.678,0,NA,NA,0,0,0,NA,NA,63.617,63.617,0,NA,NA,0,0,2025-09-17,NA,6.25,wood,0.5,0.53,4555555.55555556,3033707.86516854,3689655.17241379,Cop1,MEA,none,NA,1_2
141,95,7,2025-10-03,16.07,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,ctrl,MEA,none,NA,1_2
142,95,7,2025-10-03,15.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,ctrl,MEA,none,NA,1_2
143,95,7,2025-10-03,16.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,ctrl,MEA,none,NA,1_2
144,96,7,2025-10-03,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus v.F,MEA,none,NA,1_2
145,96,7,2025-10-03,15.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus v.F,MEA,none,NA,1_2
146,96,7,2025-10-03,15.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus v.F,MEA,none,NA,1_2
147,96,7,2025-10-03,15.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus v.F,MEA,none,NA,1_2
148,96,7,2025-10-03,15.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus v.F,MEA,none,NA,1_2
149,96,7,2025-10-03,15.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus v.F,MEA,none,NA,1_2
150,97,7,2025-10-03,15.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus columbinus,MEA,none,NA,1_2
151,97,7,2025-10-03,15.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus columbinus,MEA,none,NA,1_2
152,97,7,2025-10-03,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus columbinus,MEA,none,NA,1_2
153,97,7,2025-10-03,15.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus columbinus,MEA,none,NA,1_2
154,97,7,2025-10-03,15.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus columbinus,MEA,none,NA,1_2
155,97,7,2025-10-03,15.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus columbinus,MEA,none,NA,1_2
156,98,7,2025-10-03,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus,MEA,none,NA,1_2
157,98,7,2025-10-03,15.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus,MEA,none,NA,1_2
158,98,7,2025-10-03,15.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. ostreatus,MEA,none,NA,1_2
159,99,7,2025-10-03,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,G. lucidum,MEA,none,NA,1_2
160,99,7,2025-10-03,16.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,G. lucidum,MEA,none,NA,1_2
161,99,7,2025-10-03,15.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,G. lucidum,MEA,none,NA,1_2
162,99,7,2025-10-03,15.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,G. lucidum,MEA,none,NA,1_2
163,99,7,2025-10-03,15.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,G. lucidum,MEA,none,NA,1_2
164,99,7,2025-10-03,15.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,G. lucidum,MEA,none,NA,1_2
165,100,7,2025-10-03,15.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,C. comatus,MEA,none,NA,1_2
166,100,7,2025-10-03,15.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,C. comatus,MEA,none,NA,1_2
167,100,7,2025-10-03,15.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,C. comatus,MEA,none,NA,1_2
168,101,7,2025-10-03,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. eryngii,MEA,none,NA,1_2
169,101,7,2025-10-03,15.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. eryngii,MEA,none,NA,1_2
170,101,7,2025-10-03,15.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. eryngii,MEA,none,NA,1_2
171,101,7,2025-10-03,15.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. eryngii,MEA,none,NA,1_2
172,101,7,2025-10-03,15.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. eryngii,MEA,none,NA,1_2
173,101,7,2025-10-03,16.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-02,NA,6.61,wood,0.5,0.54,86419.7530864197,259067.357512953,124324.324324324,P. eryngii,MEA,none,NA,1_2
174,102,8,2025-10-08,16.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,ctrl,MEA,none,NA,1_2
175,102,8,2025-10-08,16.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,ctrl,MEA,none,NA,1_2
176,102,8,2025-10-08,15.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,ctrl,MEA,none,NA,1_2
177,102,8,2025-10-08,15.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,ctrl,MEA,none,NA,1_2
178,102,8,2025-10-08,15.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,ctrl,MEA,none,NA,1_2
179,102,8,2025-10-08,16.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,ctrl,MEA,none,NA,1_2
180,103,8,2025-10-08,15.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus v.F,MEA,none,NA,1_2
181,103,8,2025-10-08,15.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus v.F,MEA,none,NA,1_2
182,103,8,2025-10-08,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus v.F,MEA,none,NA,1_2
183,103,8,2025-10-08,15.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus v.F,MEA,none,NA,1_2
184,103,8,2025-10-08,15.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus v.F,MEA,none,NA,1_2
185,103,8,2025-10-08,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus v.F,MEA,none,NA,1_2
186,104,8,2025-10-08,15.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus columbinus,MEA,none,NA,1_2
187,104,8,2025-10-08,15.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus columbinus,MEA,none,NA,1_2
188,104,8,2025-10-08,15.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus columbinus,MEA,none,NA,1_2
189,105,8,2025-10-08,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus,MEA,none,NA,1_2
190,105,8,2025-10-08,15.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus,MEA,none,NA,1_2
191,105,8,2025-10-08,15.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,P. ostreatus,MEA,none,NA,1_2
192,106,8,2025-10-08,15.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,G. lucidum,MEA,none,NA,1_2
193,106,8,2025-10-08,15.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,G. lucidum,MEA,none,NA,1_2
194,106,8,2025-10-08,15.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,G. lucidum,MEA,none,NA,1_2
195,106,8,2025-10-08,15.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,G. lucidum,MEA,none,NA,1_2
196,106,8,2025-10-08,15.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,G. lucidum,MEA,none,NA,1_2
197,106,8,2025-10-08,15.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,G. lucidum,MEA,none,NA,1_2
198,107,8,2025-10-08,15.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,C. comatus,MEA,none,NA,1_2
199,107,8,2025-10-08,15.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,C. comatus,MEA,none,NA,1_2
200,107,8,2025-10-08,15.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-07,NA,6.12,wood,0.5,0.56,723809.523809524,524590.163934426,593333.333333333,C. comatus,MEA,none,NA,1_2
