"id_treatment","ecoli_conc"
6,1600
6,3478.26086956522
6,937.5
9,0
9,0
9,0
6,66.6666666666667
6,285.714285714286
6,344.827586206897
9,52.6315789473684
9,0
9,125
10,132394366.197183
11,241935483.870968
12,107058823.529412
13,7222222.22222222
14,15740740.7407407
15,76530612.244898
16,74074.0740740741
17,0
18,760.869565217391
19,298245614.035088
20,84210526.3157895
21,160439560.43956
22,134579439.252336
23,221276595.744681
24,2e+08
29,0
30,0
31,0
77,1721698113.20755
85,1402542372.88136
87,0
88,7.09219858156028
89,0
90,848684210.526316
91,508547008.547009
92,NA
93,532846715.328467
94,736666666.666667
95,675324675.324675
118,442.857142857143
116,217.054263565891
108,113.333333333333
103,12445652.173913
104,2806122.44897959
105,4312500
110,NA
111,NA
112,NA
101,25468750
102,3775510.20408163
103,220338983.050847
117,NA
109,333333333.333333
119,0
120,0
121,7079646.01769912
122,4687500
123,437500
124,155339.805825243
125,57553.9568345324
126,24295.7746478873
127,8333.33333333333
