"id_treatment","area_size_7dpi","area_size_14dpi","contamination_area_7dpi","contamination_area_14dpi","growth_description_7dpi","growth_description_14dpi"
1,0.64,0.64,4.742,6.679,0,0
2,0.64,0.64,57.74,63.617,0,0
3,0.77,0.77,0,0,0,0
4,63.62,63.617,0,0,3,3
5,63.617,63.617,0,0,3,3
6,63.617,63.617,0,0,3,3
7,63.617,63.617,0,0,3,3
8,63.617,63.617,0,0,3,4
9,63.617,63.617,0,13.039,3,3
10,4.938,4.938,42.901,63.617,3,3
11,32.306,63.617,0,0,3,3
12,43.321,63.617,0,0,3,3
13,0.78,0.78,0,0,0,0
14,0.7,0.7,0,0,0,0
15,0.7,0.7,0,0,0,0
16,6.21,6.21,63.617,63.617,5,5
17,16.148,53.03,0,0,5,5
18,5.271,5.271,63.617,63.617,5,5
19,19.101,19.101,44.516,44.516,3,3
20,12.05,12.05,51.567,51.567,4,4
21,63.62,63.62,0,0,4,4
22,0.917,0.917,0,0,0,0
23,0.678,0.678,0,0,0,0
24,0.691,0.691,0,0,0,0
25,63.617,63.617,0,0,3,4
26,63.617,63.617,0,0,3,4
27,58.648,63.617,0,0,3,4
28,52.415,63.617,0,0,3,3
29,63.617,63.617,0,0,3,4
30,63.617,63.617,0,0,3,3
31,63.617,63.62,0,0,4,2
32,63.617,63.617,0,0,4,2
33,63.617,63.62,0,0,3,2
34,15.409,63.62,0,0,5,5
35,0.781,0.781,0,0,0,0
36,9.691,63.62,0,0,5,5
37,15.044,47.284,0,0,5,5
38,7.862,7.862,55.758,55.758,3,3
39,15.089,41.221,0,0,5,5
40,19.814,19.814,43.806,43.806,3,3
41,53.917,63.62,0,0,3,3
42,10.67,10.67,52.95,52.95,3,3
43,40.924,44.376,0,0,4,3
44,49.107,49.107,0,0,4,3
45,42.42,63.62,0,0,3,3
46,38.329,44.951,0,0,4,3
47,42.272,50.27,0,0,4,3
48,46.172,55.104,0,0,4,3
49,63.617,63.62,0,0,3,4
50,63.617,63.617,0,0,3,4
51,63.617,63.617,0,0,3,4
52,49.63,63.62,0,0,4,3
53,45.608,63.62,0,0,4,3
54,0.67,0.67,27.8,46.596,0,0
55,0.72,0.72,12.704,42.408,0,0
56,0.68,0.68,10.448,26.903,0,0
57,58.629,59.672,0,0,4,4
